title,control_title,Mod,priority,Recommendation Steps/Approach,COST,
Account,Security contact information should be provided for an AWS account,Compliance,P1,Security contact information should be provided for an AWS account. Steps: 1. Navigate to the AWS Management Console. 2. Update the security contact information under the account settings. https://docs.aws.amazon.com/accounts/latest/reference/account-settings.html,$0 (no additional cost),
Account,AWS account should be part of AWS Organizations,Compliance,P1,"AWS account should be part of AWS Organizations. Steps: 1. Check if the account is part of an AWS Organization. 2. If not, create an organization and add the account. https://docs.aws.amazon.com/organizations/latest/userguide/orgs_getting-started.html",$0 (no additional cost),
ACM,ACM certificates should not expire within 30 days,Compliance,P1,ACM certificates should not expire within 30 days. Steps: 1. Review ACM certificates. 2. Renew any certificates expiring within 30 days. https://docs.aws.amazon.com/acm/latest/userguide/acm-managing-certificates.html,$0 (no additional cost),
ACM,Ensure that ACM certificates are not in failed state,Compliance,P1,Ensure that ACM certificates are not in failed state. Steps: 1. Check the status of ACM certificates. 2. Resolve any certificates that are in a failed state. https://docs.aws.amazon.com/acm/latest/userguide/acm-managing-certificates.html,$0 (no additional cost),
ACM,Ensure that ACM certificates are not in pending validation state,Compliance,P1,Ensure that ACM certificates are not in pending validation state. Steps: 1. Review ACM certificates. 2. Complete validation for any certificates in pending validation state. https://docs.aws.amazon.com/acm/latest/userguide/acm-managing-certificates.html,$0 (no additional cost),
ACM,ACM certificates should not use wildcard certificates,Compliance,P1,ACM certificates should not use wildcard certificates. Steps: 1. Review all ACM certificates. 2. Replace any wildcard certificates with specific domain certificates. https://docs.aws.amazon.com/acm/latest/userguide/acm-managing-certificates.html,$0 (no additional cost),
ACM,Ensure that all the expired ACM certificates are removed,Compliance,P1,Ensure that all the expired ACM certificates are removed. Steps: 1. Identify expired certificates in ACM. 2. Delete any expired certificates. https://docs.aws.amazon.com/acm/latest/userguide/acm-managing-certificates.html,$0 (no additional cost),
ACM,ACM certificates should have transparency logging enabled,Compliance,P1,ACM certificates should have transparency logging enabled. Steps: 1. Review ACM certificates. 2. Enable transparency logging for all applicable certificates. https://docs.aws.amazon.com/acm/latest/userguide/acm-managing-certificates.html,$0 (no additional cost),
ACM,ACM certificates should not expire within 30 days,Compliance,P1,ACM certificates should not expire within 30 days. Steps: 1. Review ACM certificates. 2. Renew any certificates expiring within 30 days. https://docs.aws.amazon.com/acm/latest/userguide/acm-managing-certificates.html,$0 (no additional cost),
ACM,Ensure that ACM certificates are not in failed state,Compliance,P1,Ensure that ACM certificates are not in failed state. Steps: 1. Check the status of ACM certificates. 2. Resolve any certificates that are in a failed state. https://docs.aws.amazon.com/acm/latest/userguide/acm-managing-certificates.html,$0 (no additional cost),
